student_id,title,math,adv_math_elec,chem,phys,bio,ss,ee,elec_sci,cs,elec_hum,wl,as,en400
38140432,Trimester 1,0,1,0,1,0,0,0,0,1,0,1,0,1
38140708,Trimester 1,0,1,1,0,0,0,0,0,1,1,1,0,2
38141193,Trimester 1,0,1,0,0,0,0,0,0,0,0,1,0,1
38142200,Trimester 1,0,2,1,0,0,0,0,0,0,0,1,0,0
38142214,Trimester 1,0,1,0,0,1,0,0,1,0,0,0,0,1
38142219,Trimester 1,0,1,0,0,0,0,1,1,0,0,0,0,0
38142425,Trimester 1,0,1,0,0,0,0,0,1,1,0,0,0,1
38142452,Trimester 1,0,1,0,0,1,0,0,0,0,0,1,0,1
38142470,Trimester 1,0,1,1,0,1,0,1,0,0,0,1,0,0
38142735,Trimester 1,0,1,0,1,1,0,1,0,0,0,0,0,1
38142903,Trimester 1,0,1,0,1,0,0,1,1,0,0,0,0,1
38142934,Trimester 1,0,1,1,0,1,0,1,0,0,0,0,0,0
38143068,Trimester 1,0,1,1,0,1,0,0,0,1,0,1,0,0
38143312,Trimester 1,0,2,0,0,0,0,0,0,0,0,0,0,1
38143474,Trimester 1,0,1,0,0,0,0,0,1,0,0,1,0,1
38143688,Trimester 1,0,1,0,1,1,0,1,0,0,0,1,0,0
38143836,Trimester 1,0,1,0,0,2,0,0,0,0,0,1,0,0
38143849,Trimester 1,0,1,1,0,0,0,0,0,1,1,0,0,1
38143873,Trimester 1,0,1,0,0,0,0,0,0,1,0,1,0,0
38143879,Trimester 1,0,1,1,1,0,0,0,0,1,0,0,0,1
38144285,Trimester 1,0,2,0,0,0,0,0,0,0,0,0,0,0
38144694,Trimester 1,0,1,1,0,0,0,1,0,0,0,1,0,1
38144766,Trimester 1,0,2,0,0,1,0,0,0,0,0,0,0,0
38144815,Trimester 1,0,1,0,1,0,0,1,0,0,0,0,0,1
38145122,Trimester 1,0,1,0,1,1,0,0,1,0,0,0,0,0
38145132,Trimester 1,0,1,0,0,0,1,0,2,0,0,0,0,1
38145447,Trimester 1,0,1,1,0,1,0,0,0,0,0,0,0,1
38145963,Trimester 1,0,1,0,0,0,0,0,1,0,0,1,0,1
38146190,Trimester 1,0,1,1,0,2,0,0,0,0,0,0,0,1
38146261,Trimester 1,0,2,1,0,0,0,0,0,0,0,1,0,1
38146633,Trimester 1,0,2,0,0,1,0,0,0,0,0,0,0,1
38146796,Trimester 1,0,2,1,0,0,0,0,0,0,0,0,0,1
38147890,Trimester 1,0,1,1,0,1,0,0,0,0,0,1,0,1
38148418,Trimester 1,0,1,0,0,1,0,0,2,0,0,0,0,1
38151707,Trimester 1,0,1,0,0,0,0,0,2,1,0,0,0,0
38151804,Trimester 1,0,1,1,1,0,0,0,0,0,0,0,0,0
38153625,Trimester 1,0,1,1,0,0,0,2,0,0,0,0,0,0
38153785,Trimester 1,0,1,1,0,1,0,0,0,0,0,0,0,2
38155234,Trimester 1,0,1,0,0,1,1,1,0,0,0,0,0,0
38156045,Trimester 1,0,1,0,0,1,1,0,0,0,0,0,0,0
38156934,Trimester 1,0,1,1,0,1,0,0,0,0,0,1,0,1
38156965,Trimester 1,0,3,1,0,0,0,0,0,1,0,0,0,0
38157018,Trimester 1,0,1,1,0,0,0,0,0,0,0,1,0,1
38157158,Trimester 1,0,1,1,0,1,0,0,0,0,0,1,0,1
38157401,Trimester 1,0,0,1,0,1,0,1,0,0,0,0,0,0
38159682,Trimester 1,0,1,0,0,1,0,0,0,1,0,0,0,0
38159821,Trimester 1,0,1,0,1,0,0,0,1,0,0,1,0,0
38160273,Trimester 1,0,2,0,0,0,0,0,0,0,0,1,0,0
38160502,Trimester 1,0,1,1,0,1,0,1,0,0,0,0,0,1
38160713,Trimester 1,0,2,0,0,0,0,0,2,0,0,1,0,1
38160767,Trimester 1,0,1,0,1,1,0,1,0,0,0,1,0,0
38160893,Trimester 1,0,1,0,0,1,0,1,0,0,0,1,0,1
38162336,Trimester 1,0,1,0,0,0,0,0,0,1,0,1,0,1
38162498,Trimester 1,0,2,0,0,0,0,0,0,0,0,0,0,0
38162964,Trimester 1,0,1,0,0,0,1,1,0,1,0,0,0,1
38163029,Trimester 1,0,1,0,1,1,0,0,1,0,0,0,0,0
38163065,Trimester 1,0,1,0,0,0,0,0,0,0,0,0,0,2
38163071,Trimester 1,0,1,1,0,1,0,0,1,0,0,0,0,1
38163296,Trimester 1,0,1,1,0,0,0,1,0,1,0,0,0,1
38163397,Trimester 1,0,2,1,0,0,0,0,0,0,0,1,0,1
38164025,Trimester 1,0,1,0,0,0,0,1,0,1,0,1,0,0
38165395,Trimester 1,0,1,0,1,0,0,0,0,1,0,0,0,0
38167495,Trimester 1,0,1,0,0,1,0,0,0,1,0,1,0,1
38169143,Trimester 1,0,1,1,0,0,0,0,0,1,1,2,0,0
38169650,Trimester 1,0,1,0,1,1,0,0,0,0,0,1,0,2
38170761,Trimester 1,0,1,1,0,1,0,0,0,0,0,0,0,0
38172141,Trimester 1,0,0,0,0,1,0,0,0,1,0,1,0,2
38173099,Trimester 1,0,1,1,0,2,0,0,0,0,1,0,0,1
38174002,Trimester 1,0,1,0,0,1,0,0,1,0,0,0,0,1
38175371,Trimester 1,0,1,0,1,0,0,1,0,1,0,0,0,1
38175409,Trimester 1,0,2,0,0,1,0,0,1,0,0,0,0,0
38175751,Trimester 1,0,1,0,1,2,0,0,0,1,0,0,0,0
38177233,Trimester 1,0,1,0,0,1,0,0,0,0,0,1,0,1
38177267,Trimester 1,0,1,0,0,0,1,0,0,0,0,1,0,0
38178070,Trimester 1,0,2,0,0,1,0,0,0,0,0,0,0,1
38178571,Trimester 1,0,1,0,0,1,0,0,0,0,0,1,0,1
38178646,Trimester 1,0,1,0,0,2,0,0,0,0,0,0,0,1
38178907,Trimester 1,0,2,0,0,0,0,0,0,1,0,0,0,0
38179977,Trimester 1,0,1,0,0,2,0,1,0,0,1,1,0,0
38180140,Trimester 1,0,1,0,0,1,0,0,0,1,0,0,0,1
38180428,Trimester 1,0,1,0,0,0,0,1,0,0,0,0,0,1
38180494,Trimester 1,0,1,0,1,0,0,0,0,0,0,1,0,1
38180697,Trimester 1,0,1,0,0,0,0,0,2,1,0,0,0,1
38181161,Trimester 1,0,2,0,0,1,0,0,0,0,0,0,0,1
38181281,Trimester 1,0,1,1,0,2,0,0,0,0,0,1,0,1
38181374,Trimester 1,0,1,1,0,2,0,0,0,0,0,1,0,0
38182467,Trimester 1,0,0,0,0,0,0,0,2,1,0,1,0,0
38186324,Trimester 1,0,1,0,0,0,0,0,1,0,0,0,0,1
38186826,Trimester 1,0,1,0,0,0,0,2,0,0,0,1,0,0
38188138,Trimester 1,0,1,0,1,1,0,0,0,0,0,0,0,0
38190055,Trimester 1,0,2,1,0,0,0,0,0,0,0,1,0,1
38193495,Trimester 1,0,2,0,0,0,0,0,0,0,0,1,0,1
38197682,Trimester 1,0,1,0,0,0,0,0,0,0,0,0,0,2
38197815,Trimester 1,0,2,0,0,0,0,0,1,1,0,0,0,1
38198399,Trimester 1,0,1,1,0,0,0,1,0,0,0,0,0,1
38199443,Trimester 1,0,1,0,0,0,0,0,0,0,0,1,0,1
38201522,Trimester 1,0,1,0,1,0,1,0,0,0,0,0,0,1
38201865,Trimester 1,0,1,1,0,1,0,0,0,1,0,1,0,0
