student_id,title,math,adv_math_elec,chem,phys,bio,ee,elec_sci,cs,elec_hum,wl,as,en400,ss,as_ss,cs_ee_ss
11847341,Trimester 1,0,1,0,0,1,1,0,0,0,0,0,1,,,
11847345,Trimester 1,0,1,0,1,0,1,0,0,1,0,0,1,,,
11847349,Trimester 1,0,1,1,0,0,0,0,0,0,1,0,1,,,
11847352,Trimester 1,0,1,0,1,1,0,0,0,0,0,0,1,,,
11847355,Trimester 1,0,1,1,0,1,0,1,0,0,0,0,1,,,
11847369,Trimester 1,0,1,0,0,0,0,0,1,0,1,0,1,,,
11847377,Trimester 1,0,1,0,0,1,1,0,0,0,0,0,1,,,
11847387,Trimester 1,0,1,0,1,0,0,1,0,0,0,0,1,,,
11847405,Trimester 1,0,1,1,0,1,0,0,0,0,1,0,1,,,
11847419,Trimester 1,0,2,0,1,0,0,0,0,0,1,0,1,,,
11847435,Trimester 1,0,1,1,0,0,1,0,0,0,1,0,1,,,
11847441,Trimester 1,0,1,1,0,0,0,0,0,0,1,0,1,,,
11847474,Trimester 1,0,1,0,1,0,0,0,0,0,1,0,1,,,
11847475,Trimester 1,0,0,0,1,1,0,0,0,0,1,0,1,,,
11847483,Trimester 1,0,1,0,1,0,0,0,0,0,1,0,2,,,
11847491,Trimester 1,0,1,0,1,0,1,0,1,0,0,0,0,,,
11847506,Trimester 1,0,2,1,0,0,0,0,0,0,0,0,0,,,
11847513,Trimester 1,0,1,1,0,0,0,0,1,0,0,0,1,,,
11847515,Trimester 1,0,1,0,0,0,1,1,0,0,1,0,1,,,
11847521,Trimester 1,0,1,0,1,0,0,0,0,0,1,0,1,,,
11847522,Trimester 1,1,0,0,1,1,0,0,0,0,0,0,2,0,,
11847530,Trimester 1,0,1,0,0,0,1,0,0,0,0,0,1,,,
11847574,Trimester 1,0,1,0,1,2,0,0,0,0,0,0,1,,,
11847577,Trimester 1,0,1,1,0,0,0,0,1,0,0,0,1,,,
11847580,Trimester 1,0,1,0,0,1,0,0,0,0,1,0,2,,,
11847592,Trimester 1,0,1,1,0,0,0,0,0,0,0,0,1,,,
11847593,Trimester 1,0,1,0,0,1,0,0,1,0,0,0,1,,,
11847594,Trimester 1,0,1,0,0,0,0,1,0,0,1,0,1,,,
11847606,Trimester 1,0,1,1,0,0,1,0,0,0,1,0,1,,,
11847614,Trimester 1,0,1,0,1,1,0,0,0,0,0,0,1,,,
11847623,Trimester 1,1,0,0,1,1,0,0,0,0,1,0,1,0,,
11847652,Trimester 1,0,1,1,0,0,0,0,0,0,0,0,1,,,
11847654,Trimester 1,0,0,0,0,1,0,0,0,0,1,0,1,,,
11847663,Trimester 1,0,1,0,1,1,0,1,0,0,1,0,0,,,
11847674,Trimester 1,0,1,0,1,1,0,0,1,0,0,0,1,,,
11847684,Trimester 1,0,1,0,0,1,0,1,0,0,1,0,1,,,
11847688,Trimester 1,0,1,1,0,0,0,1,0,0,1,0,0,,,
11847691,Trimester 1,0,1,1,0,0,0,0,1,0,1,0,1,,,
11847694,Trimester 1,0,1,0,1,0,0,0,0,0,1,0,1,,,
11847701,Trimester 1,0,1,0,1,0,1,1,1,0,0,0,0,,,
11847706,Trimester 1,0,1,1,1,1,1,0,0,1,0,0,0,,,
11847734,Trimester 1,0,1,1,0,0,0,1,1,0,0,0,1,,,
11847742,Trimester 1,0,0,0,1,1,1,0,0,0,1,0,0,,,
11847745,Trimester 1,0,1,0,0,0,0,1,0,0,0,0,0,,,
11847750,Trimester 1,0,0,0,0,0,0,0,1,0,1,0,1,,,
11847755,Trimester 1,0,2,0,0,1,0,1,0,0,0,0,1,,,
11847764,Trimester 1,0,1,0,0,0,1,0,0,0,0,0,1,,,
11847776,Trimester 1,0,1,0,1,1,0,0,0,0,0,0,2,,,
11847785,Trimester 1,0,1,1,0,1,0,0,0,0,1,0,0,,,
